Index,Time,l_side.T_wheel,((driven[1])->measure).speed_rads
646,17.076000,0.443514735,1.04000068
647,17.103000,0.456514567,2.68101478
648,17.130000,0.470014393,4.22267056
649,17.153000,0.481514245,5.54269505
650,17.193000,0.501514077,8.0418005
651,17.218000,0.514014661,9.57952404
652,17.241000,0.525515199,11.0835085
653,17.265000,0.537515759,12.7835102
654,17.288000,0.549016297,14.2392769
655,17.311000,0.560516834,15.8723507
656,17.336000,0.573017418,17.6612415
657,17.372000,0.590518236,20.1183414
658,17.394000,0.602018774,21.7457371
659,17.421000,0.615519404,24.0207329
660,17.448000,0.629020035,26.296711
661,17.472000,0.641020596,28.0084057
662,17.495000,0.652521133,29.8423233
663,17.518000,0.664021671,31.9601574
664,17.542000,0.676522255,34.2347946
665,17.566000,0.687522769,35.9984169
666,17.592000,0.7010234,37.9686775
667,17.618000,0.714524031,40.9045067
668,17.641000,0.726024568,42.9182739
669,17.665000,0.737525105,44.7064667
670,17.693000,0.752025783,47.2383156
671,17.718000,0.764526367,47.8669205
672,17.748000,0.778527021,48.1155014
673,17.771000,0.790527582,48.461441
674,17.795000,0.80202812,48.2007027
675,17.818000,0.81402868,48.4538078
676,17.841000,0.825529218,48.669384
677,17.869000,0.839529872,48.3710709
678,17.892000,0.851030409,48.6700478
679,17.921000,0.865031064,48.4790497
680,17.946000,0.878031671,48.4970169
681,17.975000,0.892032325,48.5490875
682,17.997000,0.903532863,48.3690109
683,18.020000,0.9150334,48.6853943
684,18.044000,0.927033961,48.5753174
685,18.068000,0.939034522,48.463398
686,18.096000,0.953035176,48.7056847
687,18.125000,0.967535853,48.3501892
688,18.149000,0.979536414,48.7045135
689,18.184000,0.997037232,48.340847
690,18.208000,0.990999579,48.6476021
691,18.231000,0.979499042,48.6664391
692,18.261000,0.964498341,48.4964142
693,18.283000,0.953497827,48.6307335
694,18.307000,0.941497266,48.5110016
695,18.331000,0.928996682,48.4800529
696,18.358000,0.915496051,48.6700592
697,18.385000,0.902495444,48.3860207
698,18.413000,0.888994813,48.6306992
699,18.446000,0.872494042,48.2822189
700,18.469000,0.859993458,48.7054443
